Order_ID,Order_Date,Customer_ID,Customer_Age,Gender,Region,Product_Name,Category,Quantity,Unit_Price,Discount_Percent,Sales_Amount,Cost_Amount,Profit,Payment_Method,Order_Status
ORD1016,2025-04-19,CUST652,30,Female,Rajshahi,Smart Watch,Wearables,2,4522,20,7235.2,6007.45,1227.75,Nagad,Delivered
ORD1017,2025-06-23,CUST121,55,Male,Sylhet,LED Monitor,Monitors,5,1191,5,5657.25,3636.53,2020.72,bKash,Delivered
ORD1018,2026-03-17,CUST438,22,Male,Khulna,Wireless Mouse,Electronics,1,2075,0,2075.0,1648.51,426.49,Card,Delivered
ORD1019,2025-05-05,CUST903,48,Female,Chattogram,Laptop Stand,Office,5,6125,20,24500.0,21608.3,2891.7,COD,Delivered
ORD1020,2026-01-09,CUST155,59,Male,Dhaka,Gaming Keyboard,Gaming,4,3669,15,12474.6,9922.39,2552.21,Card,Cancelled
ORD1021,2025-08-18,CUST243,45,Male,Khulna,Bluetooth Headphones,Accessories,3,2236,5,6372.6,4033.9,2338.7,Card,Delivered
ORD1022,2025-11-30,CUST653,18,Male,Chattogram,LED Monitor,Monitors,1,6819,20,5455.2,3930.71,1524.49,bKash,Delivered
ORD1023,2025-03-26,CUST488,18,Female,Khulna,LED Monitor,Monitors,4,1951,15,6633.4,6193.72,439.68,Card,Delivered
ORD1024,2025-06-01,CUST322,21,Male,Barishal,Power Bank,Power,4,5622,15,19114.8,13308.29,5806.51,Nagad,Delivered
ORD1025,2025-09-29,CUST261,21,Male,Chattogram,Webcam,Camera,1,4105,20,3284.0,3276.75,7.25,COD,Returned
ORD1026,2025-10-19,CUST352,55,Male,Sylhet,USB-C Cable,Cables,1,3507,0,3507.0,2820.44,686.56,COD,Delivered
ORD1027,2025-04-15,CUST785,38,Male,Khulna,Webcam,Camera,5,4482,10,20169.0,17981.13,2187.87,Card,Delivered
ORD1028,2025-11-15,CUST676,24,Male,Sylhet,LED Monitor,Monitors,3,2790,0,8370.0,4624.55,3745.45,bKash,Returned
ORD1029,2026-03-27,CUST350,41,Female,Chattogram,Laptop Stand,Office,3,7845,10,21181.5,18541.66,2639.84,Card,Returned
ORD1030,2026-02-23,CUST667,37,Male,Chattogram,Webcam,Camera,3,6811,20,16346.4,11281.31,5065.09,Nagad,Delivered
ORD1031,2025-04-18,CUST834,39,Male,Barishal,Power Bank,Power,1,1473,10,1325.7,922.21,403.49,Nagad,Returned
ORD1032,2025-08-05,CUST949,35,Male,Dhaka,Smart Watch,Wearables,4,7616,0,30464.0,17514.38,12949.62,Nagad,Delivered
ORD1033,2025-08-07,CUST674,18,Male,Dhaka,Laptop Stand,Office,3,6272,15,15993.6,13151.51,2842.09,bKash,Returned
ORD1034,2025-03-07,CUST142,37,Female,Dhaka,Gaming Keyboard,Gaming,1,4971,20,3976.8,2932.82,1043.98,Nagad,Delivered
ORD1035,2025-07-28,CUST735,27,Male,Chattogram,Bluetooth Headphones,Accessories,2,3097,20,4955.2,4885.31,69.89,bKash,Delivered
ORD1036,2025-07-30,CUST921,60,Male,Khulna,Laptop Stand,Office,1,6233,10,5609.7,4744.84,864.86,bKash,Cancelled
ORD1037,2025-04-24,CUST304,47,Female,Khulna,Phone Case,Mobile,1,7344,0,7344.0,5741.69,1602.31,bKash,Delivered
ORD1038,2025-02-05,CUST891,35,Female,Barishal,USB-C Cable,Cables,1,3464,10,3117.6,2165.77,951.83,Card,Cancelled
ORD1039,2025-05-14,CUST282,55,Female,Dhaka,Gaming Keyboard,Gaming,5,7894,0,39470.0,22937.69,16532.31,COD,Returned
ORD1040,2025-09-19,CUST218,42,Male,Khulna,Gaming Keyboard,Gaming,4,6168,10,22204.8,16476.61,5728.19,COD,Cancelled
ORD1041,2026-01-15,CUST854,60,Male,Khulna,Wireless Mouse,Electronics,4,4459,20,14268.8,13117.51,1151.29,Card,Delivered
ORD1042,2025-06-03,CUST619,37,Female,Khulna,Webcam,Camera,3,2771,0,8313.0,6187.65,2125.35,Card,Cancelled
ORD1043,2025-07-14,CUST793,29,Female,Rajshahi,Power Bank,Power,3,1242,5,3539.7,2472.28,1067.42,COD,Delivered
ORD1044,2025-06-14,CUST576,46,Female,Barishal,USB-C Cable,Cables,3,3721,20,8930.4,7968.13,962.27,bKash,Returned
ORD1045,2025-12-06,CUST748,57,Female,Dhaka,Laptop Stand,Office,4,5597,0,22388.0,14028.82,8359.18,bKash,Cancelled
ORD1046,2025-01-24,CUST350,48,Male,Rajshahi,USB-C Cable,Cables,3,6807,5,19399.95,12044.01,7355.94,Card,Cancelled
ORD1047,2025-05-05,CUST251,59,Male,Dhaka,USB-C Cable,Cables,5,6084,15,25857.0,20791.52,5065.48,Card,Delivered
ORD1048,2026-04-15,CUST968,25,Female,Chattogram,Power Bank,Power,2,4005,0,8010.0,5611.0,2399.0,Card,Cancelled
ORD1049,2026-04-02,CUST553,57,Female,Sylhet,Power Bank,Power,5,5077,10,22846.5,20473.27,2373.23,Card,Delivered
ORD1050,2025-05-22,CUST884,51,Female,Barishal,LED Monitor,Monitors,4,2323,5,8827.4,7217.68,1609.72,bKash,Delivered
ORD1051,2025-06-21,CUST427,52,Male,Chattogram,Bluetooth Headphones,Accessories,4,6045,10,21762.0,14829.91,6932.09,bKash,Delivered
ORD1052,2025-07-28,CUST438,52,Female,Rajshahi,Laptop Stand,Office,4,5986,5,22746.8,13584.43,9162.37,COD,Delivered
ORD1053,2025-01-11,CUST977,54,Female,Rajshahi,Phone Case,Mobile,4,7612,20,24358.4,24523.94,-165.54,COD,Delivered
ORD1054,2026-01-12,CUST659,56,Male,Rajshahi,Phone Case,Mobile,3,7191,15,18337.05,15000.13,3336.92,bKash,Delivered
ORD1055,2025-12-14,CUST917,43,Male,Rajshahi,LED Monitor,Monitors,4,437,15,1485.8,1120.04,365.76,bKash,Returned
ORD1056,2025-12-06,CUST127,23,Female,Chattogram,Wireless Mouse,Electronics,5,7629,15,32423.25,27075.74,5347.51,Card,Delivered
ORD1057,2025-06-17,CUST445,42,Female,Rajshahi,Smart Watch,Wearables,1,3305,10,2974.5,2006.63,967.87,Nagad,Delivered
ORD1058,2025-06-29,CUST329,59,Male,Barishal,Wireless Mouse,Electronics,4,6336,20,20275.2,14295.62,5979.58,COD,Delivered
ORD1059,2025-05-03,CUST229,48,Male,Sylhet,USB-C Cable,Cables,2,7074,0,14148.0,10154.88,3993.12,bKash,Delivered
ORD1060,2026-01-18,CUST835,25,Male,Khulna,Gaming Keyboard,Gaming,3,1574,20,3777.6,3371.3,406.3,COD,Returned
ORD1061,2026-01-02,CUST303,22,Male,Dhaka,Smart Watch,Wearables,1,4916,15,4178.6,3230.29,948.31,Nagad,Cancelled
ORD1062,2025-06-27,CUST645,45,Female,Dhaka,Bluetooth Headphones,Accessories,5,6722,20,26888.0,25587.68,1300.32,Nagad,Delivered
ORD1063,2025-11-22,CUST948,47,Male,Rajshahi,LED Monitor,Monitors,4,1064,15,3617.6,3444.86,172.74,bKash,Cancelled
ORD1064,2025-08-27,CUST546,55,Female,Khulna,Smart Watch,Wearables,5,5245,20,20980.0,19908.79,1071.21,bKash,Delivered
ORD1065,2025-12-09,CUST488,39,Male,Rajshahi,LED Monitor,Monitors,3,2197,15,5602.35,4639.14,963.21,Nagad,Delivered
ORD1066,2026-03-27,CUST710,35,Male,Sylhet,USB-C Cable,Cables,4,3106,10,11181.6,7974.86,3206.74,bKash,Delivered
ORD1067,2025-12-20,CUST587,59,Female,Rajshahi,Phone Case,Mobile,2,4202,20,6723.2,6342.54,380.66,COD,Delivered
ORD1068,2025-10-25,CUST477,48,Female,Rajshahi,USB-C Cable,Cables,3,3512,5,10009.2,6665.87,3343.33,Nagad,Delivered
ORD1069,2026-01-05,CUST297,38,Male,Barishal,Smart Watch,Wearables,4,2711,10,9759.6,6639.19,3120.41,bKash,Delivered
ORD1070,2025-09-26,CUST711,36,Male,Chattogram,LED Monitor,Monitors,2,2465,20,3944.0,4011.46,-67.46,Nagad,Delivered
ORD1071,2025-03-06,CUST380,20,Male,Sylhet,Laptop Stand,Office,3,2676,0,8028.0,5950.07,2077.93,Nagad,Cancelled
ORD1072,2025-08-29,CUST590,46,Female,Chattogram,LED Monitor,Monitors,2,1040,0,2080.0,1466.39,613.61,COD,Delivered
ORD1073,2025-02-07,CUST690,58,Male,Chattogram,Bluetooth Headphones,Accessories,4,6934,0,27736.0,18255.59,9480.41,bKash,Returned
ORD1074,2025-08-02,CUST720,56,Male,Sylhet,Bluetooth Headphones,Accessories,3,2233,0,6699.0,4693.85,2005.15,Card,Delivered
ORD1075,2025-06-06,CUST682,57,Male,Sylhet,Smart Watch,Wearables,4,7246,20,23187.2,23688.87,-501.67,COD,Delivered
ORD1076,2025-03-30,CUST665,22,Male,Dhaka,Smart Watch,Wearables,2,5610,0,11220.0,6646.79,4573.21,Card,Delivered
ORD1077,2025-12-28,CUST389,47,Male,Barishal,LED Monitor,Monitors,5,2585,0,12925.0,7916.54,5008.46,bKash,Delivered
ORD1078,2025-11-28,CUST252,35,Male,Dhaka,USB-C Cable,Cables,5,3682,0,18410.0,12832.36,5577.64,COD,Delivered
ORD1079,2025-08-13,CUST227,47,Female,Barishal,Webcam,Camera,3,6335,20,15204.0,15179.71,24.29,Card,Delivered
ORD1080,2025-01-21,CUST542,38,Female,Dhaka,Power Bank,Power,5,4245,15,18041.25,12134.74,5906.51,COD,Delivered
ORD1081,2025-12-11,CUST941,35,Male,Chattogram,Webcam,Camera,5,7988,0,39940.0,32746.19,7193.81,Card,Returned
ORD1082,2026-02-21,CUST603,23,Female,Khulna,Smart Watch,Wearables,4,1686,20,5395.2,4502.89,892.31,Card,Delivered
ORD1083,2025-12-22,CUST607,36,Female,Sylhet,Bluetooth Headphones,Accessories,3,7226,5,20594.1,13853.26,6740.84,COD,Delivered
ORD1084,2026-01-31,CUST513,50,Male,Barishal,Gaming Keyboard,Gaming,1,2267,10,2040.3,1317.8,722.5,Card,Delivered
ORD1085,2025-09-13,CUST740,46,Male,Chattogram,USB-C Cable,Cables,1,4447,10,4002.3,3193.44,808.86,Nagad,Returned
ORD1086,2025-11-19,CUST723,33,Male,Khulna,Smart Watch,Wearables,2,3789,15,6441.3,4416.35,2024.95,COD,Returned
ORD1087,2025-03-02,CUST763,27,Female,Barishal,Bluetooth Headphones,Accessories,4,2040,0,8160.0,5504.66,2655.34,Nagad,Returned
ORD1088,2025-05-05,CUST567,53,Male,Rajshahi,Phone Case,Mobile,3,7038,15,17946.9,17200.86,746.04,bKash,Returned
ORD1089,2026-02-09,CUST974,44,Female,Sylhet,Laptop Stand,Office,5,7278,0,36390.0,22728.71,13661.29,Nagad,Delivered
ORD1090,2025-12-04,CUST601,27,Female,Sylhet,Smart Watch,Wearables,3,7060,20,16944.0,14965.35,1978.65,Card,Delivered
ORD1091,2026-04-23,CUST429,30,Male,Sylhet,Power Bank,Power,3,6449,20,15477.6,12611.28,2866.32,Card,Delivered
ORD1092,2026-02-20,CUST490,42,Male,Rajshahi,Wireless Mouse,Electronics,4,2806,15,9540.4,8310.38,1230.02,COD,Delivered
ORD1093,2025-08-14,CUST202,51,Female,Dhaka,Webcam,Camera,5,2919,0,14595.0,11472.13,3122.87,bKash,Delivered
ORD1094,2025-12-21,CUST507,59,Male,Khulna,Bluetooth Headphones,Accessories,2,4046,10,7282.8,5190.3,2092.5,Card,Delivered
ORD1095,2025-11-20,CUST800,36,Male,Barishal,Power Bank,Power,4,494,20,1580.8,1123.3,457.5,COD,Delivered
ORD1096,2026-04-08,CUST129,20,Female,Dhaka,Bluetooth Headphones,Accessories,1,3834,5,3642.3,2827.12,815.18,Nagad,Delivered
ORD1097,2025-10-17,CUST798,29,Male,Chattogram,Phone Case,Mobile,3,1392,5,3967.2,2895.7,1071.5,COD,Returned
ORD1098,2025-10-26,CUST246,32,Female,Barishal,Webcam,Camera,4,5796,5,22024.8,15866.44,6158.36,Nagad,Delivered
ORD1099,2025-12-13,CUST659,28,Male,Rajshahi,Wireless Mouse,Electronics,3,7563,15,19285.65,17999.79,1285.86,Nagad,Returned
ORD1100,2025-06-04,CUST303,42,Female,Dhaka,Phone Case,Mobile,3,5855,10,15808.5,11827.32,3981.18,bKash,Delivered
ORD1101,2025-06-01,CUST122,60,Female,Khulna,Gaming Keyboard,Gaming,5,4908,10,22086.0,20074.38,2011.62,COD,Returned
ORD1102,2026-04-08,CUST393,32,Female,Chattogram,Webcam,Camera,1,6304,15,5358.4,4884.76,473.64,bKash,Returned
ORD1103,2025-11-27,CUST140,37,Female,Dhaka,Laptop Stand,Office,3,5346,0,16038.0,12732.87,3305.13,Nagad,Cancelled
ORD1104,2025-08-01,CUST279,30,Male,Sylhet,Bluetooth Headphones,Accessories,2,7651,10,13771.8,9765.95,4005.85,Nagad,Returned
ORD1105,2026-02-27,CUST593,36,Female,Dhaka,Smart Watch,Wearables,5,7003,5,33264.25,21687.66,11576.59,Card,Delivered
ORD1106,2026-02-16,CUST670,41,Male,Rajshahi,USB-C Cable,Cables,2,7246,15,12318.2,11755.37,562.83,COD,Delivered
ORD1107,2025-12-11,CUST368,55,Female,Barishal,Bluetooth Headphones,Accessories,5,3925,10,17662.5,14358.9,3303.6,Nagad,Delivered
ORD1108,2025-10-15,CUST435,57,Male,Barishal,LED Monitor,Monitors,2,405,20,648.0,638.88,9.12,COD,Cancelled
ORD1109,2025-01-24,CUST138,37,Female,Dhaka,Smart Watch,Wearables,4,5518,15,18761.2,12834.92,5926.28,COD,Delivered
ORD1110,2026-01-16,CUST813,52,Female,Sylhet,Laptop Stand,Office,5,3383,15,14377.75,10997.68,3380.07,bKash,Delivered
ORD1111,2025-05-24,CUST133,41,Male,Rajshahi,LED Monitor,Monitors,1,5243,15,4456.55,4212.98,243.57,Card,Delivered
ORD1112,2025-11-27,CUST467,21,Female,Khulna,Bluetooth Headphones,Accessories,3,5817,10,15705.9,12163.45,3542.45,bKash,Delivered
ORD1113,2025-11-02,CUST121,21,Female,Chattogram,Bluetooth Headphones,Accessories,4,5629,5,21390.2,16284.93,5105.27,bKash,Returned
ORD1114,2025-04-21,CUST932,32,Female,Chattogram,Bluetooth Headphones,Accessories,2,6997,20,11195.2,8479.42,2715.78,COD,Delivered
ORD1115,2025-02-26,CUST776,19,Male,Dhaka,Laptop Stand,Office,2,4625,10,8325.0,7081.79,1243.21,Nagad,Delivered
ORD1116,2025-03-06,CUST859,44,Male,Barishal,Gaming Keyboard,Gaming,5,329,5,1562.75,1022.61,540.14,COD,Delivered
ORD1117,2025-09-15,CUST326,57,Male,Barishal,Gaming Keyboard,Gaming,4,4404,20,14092.8,10207.5,3885.3,Nagad,Delivered
ORD1118,2025-02-25,CUST602,46,Male,Dhaka,Wireless Mouse,Electronics,1,4123,15,3504.55,2742.18,762.37,Nagad,Returned
ORD1119,2025-10-27,CUST661,38,Female,Sylhet,Bluetooth Headphones,Accessories,2,1233,10,2219.4,1771.98,447.42,Nagad,Delivered
ORD1120,2025-02-28,CUST973,59,Male,Rajshahi,Webcam,Camera,5,3724,0,18620.0,14228.21,4391.79,Card,Delivered
ORD1121,2026-01-09,CUST197,38,Female,Khulna,Gaming Keyboard,Gaming,4,6978,15,23725.2,18356.53,5368.67,Nagad,Delivered
ORD1122,2025-02-17,CUST542,24,Female,Chattogram,LED Monitor,Monitors,2,749,0,1498.0,1160.32,337.68,COD,Returned
ORD1123,2026-03-24,CUST781,45,Male,Khulna,Power Bank,Power,5,2900,0,14500.0,9583.32,4916.68,Nagad,Delivered
ORD1124,2025-09-04,CUST329,24,Female,Sylhet,Webcam,Camera,1,4356,5,4138.2,2577.78,1560.42,Nagad,Delivered
ORD1125,2026-01-28,CUST938,57,Male,Sylhet,Webcam,Camera,3,2052,15,5232.6,4790.55,442.05,Nagad,Delivered
ORD1126,2025-06-29,CUST106,29,Male,Sylhet,Smart Watch,Wearables,2,5956,10,10720.8,9515.49,1205.31,Card,Delivered
ORD1127,2025-08-03,CUST564,39,Male,Khulna,Wireless Mouse,Electronics,2,951,20,1521.6,1156.58,365.02,Nagad,Cancelled
ORD1128,2025-03-21,CUST261,57,Male,Barishal,Webcam,Camera,3,5084,0,15252.0,12026.24,3225.76,COD,Delivered
ORD1129,2025-05-20,CUST320,50,Male,Khulna,Phone Case,Mobile,4,4178,20,13369.6,11186.21,2183.39,Card,Delivered
ORD1130,2025-01-24,CUST325,43,Male,Dhaka,Webcam,Camera,3,4186,20,10046.4,9168.92,877.48,bKash,Delivered
ORD1131,2025-03-03,CUST107,49,Female,Chattogram,Laptop Stand,Office,2,6460,10,11628.0,8115.71,3512.29,bKash,Delivered
ORD1132,2026-02-17,CUST462,22,Female,Barishal,USB-C Cable,Cables,5,4298,20,17192.0,16654.87,537.13,COD,Delivered
ORD1133,2025-10-22,CUST539,54,Female,Barishal,LED Monitor,Monitors,1,7746,0,7746.0,6063.33,1682.67,Card,Delivered
ORD1134,2025-11-13,CUST571,41,Male,Rajshahi,Phone Case,Mobile,1,370,10,333.0,220.67,112.33,COD,Delivered
ORD1135,2026-03-22,CUST417,39,Male,Khulna,Webcam,Camera,4,3480,20,11136.0,7951.59,3184.41,bKash,Delivered
ORD1136,2026-02-02,CUST457,40,Male,Chattogram,Bluetooth Headphones,Accessories,5,4546,20,18184.0,13691.51,4492.49,COD,Delivered
ORD1137,2026-01-24,CUST771,22,Male,Barishal,USB-C Cable,Cables,3,1621,20,3890.4,2875.37,1015.03,Card,Delivered
ORD1138,2025-11-16,CUST430,58,Female,Chattogram,Webcam,Camera,5,3877,20,15508.0,14027.14,1480.86,Card,Delivered
ORD1139,2025-10-30,CUST157,40,Male,Khulna,LED Monitor,Monitors,4,5372,10,19339.2,16438.51,2900.69,Card,Delivered
ORD1140,2026-03-19,CUST975,23,Female,Rajshahi,Wireless Mouse,Electronics,1,3220,10,2898.0,1837.71,1060.29,COD,Delivered
ORD1141,2025-03-19,CUST163,46,Male,Khulna,USB-C Cable,Cables,5,2833,20,11332.0,9609.82,1722.18,COD,Returned
ORD1142,2025-09-26,CUST635,57,Male,Khulna,Wireless Mouse,Electronics,2,2229,15,3789.3,3644.71,144.59,Nagad,Delivered
ORD1143,2025-01-27,CUST908,58,Female,Dhaka,Phone Case,Mobile,4,6544,10,23558.4,19194.92,4363.48,Nagad,Delivered
ORD1144,2025-12-03,CUST717,27,Female,Dhaka,Phone Case,Mobile,5,2527,10,11371.5,9418.23,1953.27,bKash,Delivered
ORD1145,2025-02-13,CUST417,53,Female,Barishal,Phone Case,Mobile,3,1256,20,3014.4,2793.54,220.86,Nagad,Delivered
ORD1146,2025-01-10,CUST471,37,Male,Chattogram,Bluetooth Headphones,Accessories,5,5492,15,23341.0,18873.04,4467.96,Nagad,Delivered
ORD1147,2026-03-09,CUST907,24,Male,Barishal,USB-C Cable,Cables,2,1326,5,2519.4,1513.85,1005.55,Nagad,Returned
ORD1148,2026-03-02,CUST809,57,Male,Barishal,Webcam,Camera,2,3286,5,6243.4,3902.5,2340.9,Card,Delivered
ORD1149,2025-11-09,CUST391,46,Male,Sylhet,Gaming Keyboard,Gaming,4,5740,5,21812.0,18638.67,3173.33,bKash,Delivered
ORD1150,2025-08-25,CUST887,36,Female,Sylhet,USB-C Cable,Cables,4,3213,20,10281.6,10484.65,-203.05,Card,Delivered
ORD1151,2025-09-04,CUST995,41,Male,Barishal,Webcam,Camera,2,1333,10,2399.4,1503.86,895.54,COD,Delivered
ORD1152,2025-03-17,CUST950,45,Male,Chattogram,Laptop Stand,Office,1,2434,15,2068.9,1933.65,135.25,Card,Delivered
ORD1153,2025-05-01,CUST495,23,Female,Chattogram,Phone Case,Mobile,1,636,15,540.6,436.0,104.6,COD,Delivered
ORD1154,2025-05-27,CUST949,48,Male,Barishal,Gaming Keyboard,Gaming,1,6682,5,6347.9,3923.35,2424.55,Card,Delivered
ORD1155,2025-04-21,CUST955,27,Female,Dhaka,Wireless Mouse,Electronics,5,7620,0,38100.0,21150.49,16949.51,Nagad,Delivered
ORD1156,2026-02-11,CUST737,47,Male,Dhaka,Bluetooth Headphones,Accessories,3,591,5,1684.35,1176.12,508.23,Card,Returned
ORD1157,2026-01-03,CUST247,36,Female,Dhaka,Wireless Mouse,Electronics,5,5376,20,21504.0,18957.46,2546.54,Nagad,Delivered
ORD1158,2025-07-04,CUST169,51,Male,Rajshahi,Phone Case,Mobile,5,1734,0,8670.0,5993.93,2676.07,Card,Delivered
ORD1159,2025-02-04,CUST453,33,Male,Sylhet,Gaming Keyboard,Gaming,4,2277,0,9108.0,5887.55,3220.45,Nagad,Delivered
ORD1160,2025-03-31,CUST950,47,Female,Barishal,Gaming Keyboard,Gaming,1,4672,10,4204.8,3595.79,609.01,bKash,Delivered
ORD1161,2026-02-10,CUST304,20,Female,Khulna,LED Monitor,Monitors,1,502,10,451.8,303.42,148.38,Card,Returned
ORD1162,2026-03-18,CUST899,21,Female,Khulna,Smart Watch,Wearables,4,499,5,1896.2,1251.99,644.21,COD,Delivered
ORD1163,2025-07-17,CUST447,29,Female,Barishal,Phone Case,Mobile,4,6289,15,21382.6,19912.29,1470.31,Card,Delivered
ORD1164,2025-02-10,CUST540,56,Male,Sylhet,Smart Watch,Wearables,5,6763,0,33815.0,25236.54,8578.46,Nagad,Delivered
ORD1165,2025-11-05,CUST834,45,Male,Barishal,Bluetooth Headphones,Accessories,1,2886,10,2597.4,1826.13,771.27,Card,Delivered
ORD1166,2025-08-11,CUST381,58,Male,Dhaka,Wireless Mouse,Electronics,4,6154,10,22154.4,17625.3,4529.1,Card,Delivered
ORD1167,2025-12-14,CUST900,46,Male,Chattogram,Laptop Stand,Office,5,455,5,2161.25,1772.55,388.7,COD,Delivered
ORD1168,2025-03-20,CUST795,46,Female,Khulna,Gaming Keyboard,Gaming,3,3336,20,8006.4,5591.91,2414.49,Card,Delivered
ORD1169,2025-11-29,CUST385,33,Male,Dhaka,Laptop Stand,Office,5,4537,10,20416.5,14914.69,5501.81,bKash,Delivered
ORD1170,2026-02-01,CUST366,46,Male,Sylhet,Phone Case,Mobile,5,7683,20,30732.0,22349.67,8382.33,Nagad,Cancelled
ORD1171,2025-08-20,CUST276,46,Male,Barishal,USB-C Cable,Cables,4,1204,5,4575.2,3757.75,817.45,Nagad,Cancelled
ORD1172,2025-06-03,CUST971,28,Male,Khulna,Bluetooth Headphones,Accessories,3,4705,20,11292.0,8869.84,2422.16,bKash,Delivered
ORD1173,2025-10-11,CUST686,41,Female,Sylhet,Laptop Stand,Office,2,2139,15,3636.3,2383.26,1253.04,bKash,Returned
ORD1174,2026-01-04,CUST590,51,Female,Rajshahi,Bluetooth Headphones,Accessories,1,2733,15,2323.05,2240.76,82.29,COD,Delivered
ORD1175,2025-06-26,CUST231,53,Male,Chattogram,Bluetooth Headphones,Accessories,3,3886,15,9909.3,8552.65,1356.65,Card,Returned
ORD1176,2025-03-24,CUST430,32,Female,Sylhet,Bluetooth Headphones,Accessories,1,4444,5,4221.8,2809.11,1412.69,Nagad,Delivered
ORD1177,2025-11-17,CUST410,57,Male,Sylhet,USB-C Cable,Cables,3,5402,20,12964.8,10114.19,2850.61,bKash,Returned
ORD1178,2025-11-06,CUST445,54,Male,Dhaka,Laptop Stand,Office,5,1602,20,6408.0,5964.01,443.99,COD,Delivered
ORD1179,2025-08-02,CUST732,58,Male,Rajshahi,Smart Watch,Wearables,5,5534,5,26286.5,20948.37,5338.13,Nagad,Cancelled
ORD1180,2025-02-07,CUST805,21,Male,Rajshahi,LED Monitor,Monitors,3,2206,15,5625.3,4171.37,1453.93,Card,Delivered
ORD1181,2026-03-18,CUST835,38,Female,Rajshahi,USB-C Cable,Cables,4,2986,20,9555.2,7032.51,2522.69,bKash,Delivered
ORD1182,2025-03-04,CUST373,46,Male,Chattogram,Power Bank,Power,5,1069,10,4810.5,3288.61,1521.89,COD,Delivered
ORD1183,2026-03-20,CUST263,38,Female,Chattogram,Phone Case,Mobile,3,7279,20,17469.6,14475.67,2993.93,bKash,Delivered
ORD1184,2025-02-16,CUST502,50,Female,Chattogram,LED Monitor,Monitors,5,4285,10,19282.5,14660.91,4621.59,bKash,Returned
ORD1185,2026-03-28,CUST963,59,Female,Khulna,Wireless Mouse,Electronics,3,614,10,1657.8,1259.23,398.57,COD,Delivered
ORD1186,2026-01-27,CUST512,41,Male,Rajshahi,Laptop Stand,Office,4,7429,10,26744.4,22180.83,4563.57,COD,Returned
ORD1187,2025-07-17,CUST616,46,Female,Sylhet,USB-C Cable,Cables,5,3169,20,12676.0,9949.43,2726.57,COD,Delivered
ORD1188,2025-07-07,CUST873,27,Male,Sylhet,Phone Case,Mobile,1,3257,10,2931.3,2281.9,649.4,Card,Returned
ORD1189,2026-02-16,CUST585,51,Female,Chattogram,Wireless Mouse,Electronics,1,518,5,492.1,384.7,107.4,bKash,Delivered
ORD1190,2026-01-14,CUST962,37,Female,Sylhet,Gaming Keyboard,Gaming,5,1531,15,6506.75,6257.7,249.05,Card,Cancelled
ORD1191,2025-12-11,CUST212,44,Female,Barishal,Smart Watch,Wearables,5,4090,0,20450.0,13281.39,7168.61,COD,Returned
ORD1192,2026-01-05,CUST152,55,Female,Chattogram,Smart Watch,Wearables,4,5570,20,17824.0,15728.82,2095.18,Card,Delivered
ORD1193,2025-08-14,CUST421,44,Male,Rajshahi,Wireless Mouse,Electronics,2,4890,0,9780.0,5882.79,3897.21,bKash,Delivered
